id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat
ark://27927/pgk1xd1vdzn,III. The Rivals and Substitutes for Reason,The Journal of Philosophy,1925,10.5840/jphil192522755,article,article,portico,,1925-01-01,7,22,http://doi.org/10.5840/jphil192522755,Morris R. Cohen,Philosophy Documentation Center,eng,180,189,,,4767,10,unigram; bigram; trigram
ark://27927/phz1jqg46p2,Is Conceptual Analysis Needed for the Reduction of Qualitative States?,Philosophy and Phenomenological Research,2002,10.1111/j.1933-1592.2002.tb00161.x,article,,portico,,2002-05-01,3,64,http://doi.org/10.1111/j.1933-1592.2002.tb00161.x,JANET LEVIN,"John Wiley & Sons, Inc.",eng,571,591,,qualitative; concepts; qualitative concepts; conceivability; causal; conceptual analysis; zombies; qualitative states; demonstrative; inconceivable,10254,21,unigram; bigram; trigram
ark://27927/phz8p11mstn,"Grounding, Essence, and Identity",Philosophy and Phenomenological Research,2019,10.1111/phpr.12468,article,,portico,,2019-05-01,3,98,http://doi.org/10.1111/phpr.12468,Fabrice Correia; Alexander Skiles,"John Wiley & Sons, Inc.",eng,642,670,,grounding; essence; generalized identity; generic essence; conjunctive; factual grounding; subsumption; factual; conjunctive part; disjunctive,15973,29,unigram; bigram; trigram
http://www.jstor.org/stable/2177897,Review Article,The Philosophical Review,1906,,article,book-review,jstor,,1906-07-01,4,15,http://www.jstor.org/stable/2177897,Adam Leroy Jones,Duke University Press,eng,426,430,,,1723,5,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2382091,Agent-Centered Restrictions: Clearing the Air of Paradox,Ethics,1997,,article,research-article,jstor,,1997-10-01,1,108,http://www.jstor.org/stable/2382091,Paul Hurley,University of Chicago Press,eng,120,146,,,12789,27,unigram; bigram; trigram
http://www.jstor.org/stable/2017419,Review Article,The Journal of Philosophy,1939,,article,book-review,jstor,,1939-11-09,23,36,http://www.jstor.org/stable/2017419,H. W. S.,"Journal of Philosophy, Inc.",eng,630,635,,,2250,6,unigram; bigram; trigram
http://www.jstor.org/stable/2026434,Knowledge and Context,The Journal of Philosophy,1986,,article,research-article,jstor,,1986-10-01,10,83,http://www.jstor.org/stable/2026434,Stewart Cohen,"Journal of Philosophy, Inc.",eng,574,583,,,4815,10,unigram; bigram; trigram
http://www.jstor.org/stable/2024587,The Cartesian Circle Reconsidered,The Journal of Philosophy,1970,,article,research-article,jstor,,1970-10-08,19,67,http://www.jstor.org/stable/2024587,Alan Gewirth,"Journal of Philosophy, Inc.",eng,668,685,,,7958,18,unigram; bigram; trigram
http://www.jstor.org/stable/2018389,Objective Teleology,The Journal of Philosophy,1941,,article,research-article,jstor,,1941-01-16,2,38,http://www.jstor.org/stable/2018389,Albert Hofstadter,"Journal of Philosophy, Inc.",eng,29,39,,,4719,11,unigram; bigram; trigram
http://www.jstor.org/stable/2379043,Causality and Imputation,Ethics,1950,,article,research-article,jstor,,1950-10-01,1,61,http://www.jstor.org/stable/2379043,Hans Kelsen,University of Chicago Press,eng,1,11,,,6472,11,unigram; bigram; trigram
http://www.jstor.org/stable/2106430,Antinaturalism and the Subversion of Morality,Philosophy and Phenomenological Research,1977,,article,research-article,jstor,,1977-06-01,4,37,http://www.jstor.org/stable/2106430,David Blumberg,International Phenomenological Society,eng,498,515,,,8066,18,unigram; bigram; trigram
http://www.jstor.org/stable/2177622,Review Article,The Philosophical Review,1911,,article,book-review,jstor,,1911-09-01,5,20,http://www.jstor.org/stable/2177622,Wilbur M. Urban,Duke University Press,eng,554,558,,,1773,5,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2106063,In Defense of Materialism,Philosophy and Phenomenological Research,1967,,article,research-article,jstor,,1967-03-01,3,27,http://www.jstor.org/stable/2106063,Max Hocutt,International Phenomenological Society,eng,366,385,,,9824,20,unigram; bigram; trigram
http://www.jstor.org/stable/2248795,Philosophical Periodicals,Mind,1911,,article,research-article,jstor,,1911-04-01,78,20,http://www.jstor.org/stable/2248795,,Oxford University Press,eng,292,304,,,7678,13,unigram; bigram; trigram
ark://27927/phz1jqgtnwr,Causation: Omissions,Philosophy and Phenomenological Research,2003,10.1111/j.1933-1592.2003.tb00244.x,article,,portico,,2003-01-01,1,66,http://doi.org/10.1111/j.1933-1592.2003.tb00244.x,JUDITH JARVIS THOMSON,"John Wiley & Sons, Inc.",eng,81,103,,affairs; caused; causation; causation omissions; commotion; affairs that consists; eating; eating his soup; detector; fire eruption,10996,23,unigram; bigram; trigram
http://www.jstor.org/stable/2941046,Back Matter,The Journal of Philosophy,1995,,article,misc,jstor,,1995-06-01,6,92,http://www.jstor.org/stable/2941046,,"Journal of Philosophy, Inc.",eng,,,,,3521,6,unigram; bigram; trigram
http://www.jstor.org/stable/2380062,Distributive Justice: Nozick on Property Rights,Ethics,1977,,article,research-article,jstor,,1977-01-01,2,87,http://www.jstor.org/stable/2380062,John Exdell,University of Chicago Press,eng,142,149,,,4121,8,unigram; bigram; trigram
http://www.jstor.org/stable/2184103,Review Article,The Philosophical Review,1971,,article,book-review,jstor,,1971-07-01,3,80,http://www.jstor.org/stable/2184103,Bruce Aune,Duke University Press,eng,383,388,,,2401,6,unigram; bigram; trigram
http://www.jstor.org/stable/23210088,"Replies to Weatherson, Hall, and Lange",Philosophy and Phenomenological Research,2012,,article,book-review,jstor,,2012-03-01,2,84,http://www.jstor.org/stable/23210088,MICHAEL STREVENS; MICHAEL STREVENS,International Phenomenological Society,eng,492,505,,,6099,14,unigram; bigram; trigram
http://www.jstor.org/stable/2014001,The Esthetic of Leo Stein,The Journal of Philosophy,1928,,article,research-article,jstor,,1928-05-24,11,25,http://www.jstor.org/stable/2014001,George Boas,"Journal of Philosophy, Inc.",eng,287,293,,,2618,7,unigram; bigram; trigram
http://www.jstor.org/stable/2248307,Review Article,Mind,1910,,article,book-review,jstor,,1910-01-01,73,19,http://www.jstor.org/stable/2248307,J. A. Stewart,Oxford University Press,eng,117,121,,,2323,5,unigram; bigram; trigram
http://www.jstor.org/stable/2253968,Review Article,Mind,1994,,article,book-review,jstor,,1994-01-01,409,103,http://www.jstor.org/stable/2253968,Hugh J. McCann,Oxford University Press,eng,99,102,,,1927,4,unigram; bigram; trigram
ark://27927/phz1jqhc7m9,Hurley on Justice and Responsibility,Philosophy and Phenomenological Research,2006,10.1111/j.1933-1592.2006.tb00570.x,article,,portico,,2006-03-01,2,72,http://doi.org/10.1111/j.1933-1592.2006.tb00570.x,Peter VALLENTYNE,"John Wiley & Sons, Inc.",eng,433,438,,brute luck; option luck; hurley; egalitarian; normative responsibility; luck egalitarianism; luck egalitarians; natural option; thin brute; egalitarian pattern,2583,6,unigram; bigram; trigram
http://www.jstor.org/stable/20129800,Current Periodical Articles,The Review of Metaphysics,1995,,article,misc,jstor,,1995-06-01,4,48,http://www.jstor.org/stable/20129800,,Philosophy Education Society Inc.,eng,947,964,,,6606,18,unigram; bigram; trigram
http://www.jstor.org/stable/20124877,Faith and Falsifiability,The Review of Metaphysics,1969,,article,research-article,jstor,,1969-03-01,3,22,http://www.jstor.org/stable/20124877,Henry E. Allison,Philosophy Education Society Inc.,eng,499,522,,,9422,24,unigram; bigram; trigram
http://www.jstor.org/stable/2178153,Front Matter,The Philosophical Review,1913,,article,misc,jstor,,1913-01-01,1,22,http://www.jstor.org/stable/2178153,,Duke University Press,eng,ii,ii,,,1534,5,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2253339,Moral Rules as Expressive Symbols,Mind,1981,,article,research-article,jstor,,1981-04-01,358,90,http://www.jstor.org/stable/2253339,J. R. Cameron,Oxford University Press,eng,224,242,,,8303,19,unigram; bigram; trigram
http://www.jstor.org/stable/20446968,Books Received,The Philosophical Review,2007,,article,misc,jstor,,2007-04-01,2,116,http://www.jstor.org/stable/20446968,,Duke University Press,eng,315,321,,,2571,7,unigram; bigram; trigram
ark://27927/phzp8p1h45b,Aristotle's First Principles by T. H. Irwin,The Journal of Philosophy,1991,10.5840/jphil199188937,article,,portico,,1991-01-01,9,88,http://doi.org/10.5840/jphil199188937,Gisela Striker,Philosophy Documentation Center,eng,489,496,,,3833,8,unigram; bigram; trigram
http://www.jstor.org/stable/2178628,Review Article,The Philosophical Review,1914,,article,book-review,jstor,,1914-05-01,3,23,http://www.jstor.org/stable/2178628,Harry Allen Overstreet,Duke University Press,eng,353,354,,,1016,2,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2179711,Review Article,The Philosophical Review,1934,,article,book-review,jstor,,1934-05-01,3,43,http://www.jstor.org/stable/2179711,H. W. Wright,Duke University Press,eng,317,320,,,1576,4,unigram; bigram; trigram
http://www.jstor.org/stable/40380491,Know How to Be Gettiered?,Philosophy and Phenomenological Research,2009,,article,research-article,jstor,,2009-11-01,3,79,http://www.jstor.org/stable/40380491,Ted Poston,International Phenomenological Society,eng,743,747,,,1623,5,unigram; bigram; trigram
http://www.jstor.org/stable/20131526,Doctoral Dissertations 1999-2000,The Review of Metaphysics,2000,,article,misc,jstor,,2000-09-01,1,54,http://www.jstor.org/stable/20131526,,Philosophy Education Society Inc.,eng,211,235,,,5946,25,unigram; bigram; trigram
http://www.jstor.org/stable/2254334,Secondary Qualities and the A Priori,Mind,1992,,article,research-article,jstor,,1992-04-01,402,101,http://www.jstor.org/stable/2254334,Jim Edwards,Oxford University Press,eng,263,272,,,5119,10,unigram; bigram; trigram
http://www.jstor.org/stable/20128179,Back Matter,The Review of Metaphysics,1984,,article,misc,jstor,,1984-12-01,2,38,http://www.jstor.org/stable/20128179,,Philosophy Education Society Inc.,eng,,,,,5380,16,unigram; bigram; trigram
http://www.jstor.org/stable/2175366,Gay's Ethical System,The Philosophical Review,1897,,article,research-article,jstor,,1897-03-01,2,6,http://www.jstor.org/stable/2175366,Ernest Albee,Duke University Press,eng,132,145,,,5223,14,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2184455,Books Received,The Philosophical Review,1981,,article,misc,jstor,,1981-04-01,2,90,http://www.jstor.org/stable/2184455,,Duke University Press,eng,325,333,,,2666,9,unigram; bigram; trigram
http://www.jstor.org/stable/425810,Psychical Distance in Indian Aesthetics,The Journal of Aesthetics and Art Criticism,1948,,article,research-article,jstor,,1948-12-01,2,7,http://www.jstor.org/stable/425810,P. J. Chaudhury,Wiley,eng,138,140,,,1669,3,unigram; bigram; trigram
http://www.jstor.org/stable/2020351,An Appreciation of Professor Whitehead with Special Reference to his Metaphysics and to his Ethical and Educational Significance,The Journal of Philosophy,1948,,article,research-article,jstor,,1948-10-07,21,45,http://www.jstor.org/stable/2020351,Charles Malik,"Journal of Philosophy, Inc.",eng,572,582,,,4908,11,unigram; bigram; trigram
http://www.jstor.org/stable/20115022,Making Sense of Method: Comments on Richard Jeffrey,Synthese,1975,,article,research-article,jstor,,1975-02-01,1/2,30,http://www.jstor.org/stable/20115022,David Miller,Springer,eng,139,147,,,3613,9,unigram; bigram; trigram
http://www.jstor.org/stable/2939326,"Time, Meaning and Transcendence--II.: Professor Dewey's Tertium Quid",The Journal of Philosophy,1922,,article,research-article,jstor,,1922-09-28,20,19,http://www.jstor.org/stable/2939326,Arthur O. Lovejoy,"Journal of Philosophy, Inc.",eng,533,541,,,4036,9,unigram; bigram; trigram; fullText
ark://27927/pgg1f8vczq5,"Replies to Dickie, Schroeder and Stalnaker",Philosophy and Phenomenological Research,2012,10.1111/j.1933-1592.2012.00641.x,article,,portico,,2012-11-01,3,85,http://doi.org/10.1111/j.1933-1592.2012.00641.x,Jason Stanley,"John Wiley & Sons, Inc.",eng,762,778,,propositional knowledge; fregean; neo fregean; intellectualist; stalnaker; dickie; semantics; ascriptions; propositional attitude; intellectualist view,7820,17,unigram; bigram; trigram
http://www.jstor.org/stable/2250388,New Books,Mind,1938,,article,misc,jstor,,1938-10-01,188,47,http://www.jstor.org/stable/2250388,Norman Kemp Smith; H. B. Acton; F. R. Tennant; J. Wisdom; H. J. Paton; John Laird; M. Black; J. O. Wisdom; Alban G. Widgery,Oxford University Press,eng,520,539,,,11336,20,unigram; bigram; trigram
http://www.jstor.org/stable/2378877,Review Article,Ethics,1948,,article,book-review,jstor,,1948-04-01,3,58,http://www.jstor.org/stable/2378877,Paul Weiss,University of Chicago Press,eng,218,219,,,1303,2,unigram; bigram; trigram
ark://27927/pgg4xfhgvg4,Knowledge Under Threat,Philosophy and Phenomenological Research,2014,10.1111/j.1933-1592.2011.00564.x,article,,portico,,2014-03-01,2,88,http://doi.org/10.1111/j.1933-1592.2011.00564.x,Tomas Bogardus,"John Wiley & Sons, Inc.",eng,289,313,,belief; knowledge; safety; atomic clock; epistemic; halloween party; subjunctive conditionals; comesaña; proposed counterexamples; safety condition,12130,25,unigram; bigram; trigram
http://www.jstor.org/stable/40664936,Gödel's philosophical program and Husserl's phenomenology,Synthese,2010,,article,research-article,jstor,,2010-07-01,1,175,http://www.jstor.org/stable/40664936,Xiaoli Liu,Springer,eng,33,45,,,6644,13,unigram; bigram; trigram
http://www.jstor.org/stable/20126956,With What Does Hegelian Science Begin?,The Review of Metaphysics,1977,,article,research-article,jstor,,1977-03-01,3,30,http://www.jstor.org/stable/20126956,Daniel Guerrière,Philosophy Education Society Inc.,eng,462,485,,,9874,24,unigram; bigram; trigram
http://www.jstor.org/stable/2379466,Sincerity and the Moral Life,Ethics,1958,,article,research-article,jstor,,1958-07-01,4,68,http://www.jstor.org/stable/2379466,Robert G. Olson,University of Chicago Press,eng,260,280,,,13004,21,unigram; bigram; trigram
http://www.jstor.org/stable/20140589,"Audi on Rationality: Background Beliefs, Arational Enjoyment, and the Rationality of Altruism",Philosophy and Phenomenological Research,2003,,article,book-review,jstor,,2003-07-01,1,67,http://www.jstor.org/stable/20140589,Richard Fumerton,International Phenomenological Society,eng,188,193,,,2843,6,unigram; bigram; trigram
ark://27927/phw8d02z4s,Epistemology and the Psychology of Human Judgment.,Philosophy and Phenomenological Research,2008,10.1111/j.1933-1592.2008.00227.x,article,,portico,,2008-11-01,3,77,http://doi.org/10.1111/j.1933-1592.2008.00227.x,EARL CONEE,"John Wiley & Sons, Inc.",eng,837,840,,epistemic; epistemology; reasoning; epistemic principles; epistemic excellence; ameliorative psychology; zahavi; theoretical epistemology; bishop; consciousness,1863,4,unigram; bigram; trigram
http://www.jstor.org/stable/2998288,Review Article,The Philosophical Review,1999,,article,book-review,jstor,,1999-10-01,4,108,http://www.jstor.org/stable/2998288,Shaun Nichols,Duke University Press,eng,559,562,,,1291,4,unigram; bigram; trigram
ark://27927/phzp9gngkvk,Causation and Types of Necessity,The Journal of Philosophy,1924,10.2307/2014754,article,,portico,,1924-01-01,24,21,http://doi.org/10.2307/2014754,Harold Chapman Brown,Philosophy Documentation Center,eng,664,666,,,1406,3,unigram; bigram; trigram
http://www.jstor.org/stable/2022615,II. The Nature and Locus of Natural Law,The Journal of Philosophy,1956,,article,research-article,jstor,,1956-11-08,23,53,http://www.jstor.org/stable/2022615,Paul Weiss,"Journal of Philosophy, Inc.",eng,713,721,,,4418,9,unigram; bigram; trigram
http://www.jstor.org/stable/20117666,Husserl's Theory of Language as Calculus Ratiocinator,Synthese,1997,,article,misc,jstor,,1997-09-01,3,112,http://www.jstor.org/stable/20117666,Marina Paola Banchetti-Robino; Rina Paola Banchetti-Robino,Springer,eng,303,321,,,8291,19,unigram; bigram; trigram
ark://27927/phzp9h7vjmj,Good Reasons and Reasonable Acts,The Journal of Philosophy,1955,10.2307/2020907,article,,portico,,1955-01-01,7,52,http://doi.org/10.2307/2020907,Virginia Black,Philosophy Documentation Center,eng,181,189,,,4044,9,unigram; bigram; trigram
ark://27927/phw8d0mtvw,Michael Tye on Perceptual Content,Philosophy and Phenomenological Research,2012,10.1111/j.1933-1592.2011.00558.x,article,,portico,,2012-01-01,1,84,http://doi.org/10.1111/j.1933-1592.2011.00558.x,FRANK JACKSON,"John Wiley & Sons, Inc.",eng,199,205,,veridical; content; singular content; object; hallucinations; illusory; perceptual; gappy content; perceptual content; existential,3105,7,unigram; bigram; trigram
ark://27927/phz1jqgwszw,"Sympathy, Discernment, and Reasons",Philosophy and Phenomenological Research,2004,10.1111/j.1933-1592.2004.tb00325.x,article,,portico,,2004-01-01,1,68,http://doi.org/10.1111/j.1933-1592.2004.tb00325.x,GARRETT CULLITY,"John Wiley & Sons, Inc.",eng,37,62,,rightness; morally; morally relevant; discernment; reason; action; relevant reasons; morally relevant reasons; sympathetic; motivated,12780,26,unigram; bigram; trigram
http://www.jstor.org/stable/3070994,Basic Knowledge and the Problem of Easy Knowledge,Philosophy and Phenomenological Research,2002,,article,research-article,jstor,,2002-09-01,2,65,http://www.jstor.org/stable/3070994,Stewart Cohen,International Phenomenological Society,eng,309,329,,,9879,21,unigram; bigram; trigram
http://www.jstor.org/stable/2177763,Review Article,The Philosophical Review,1906,,article,book-review,jstor,,1906-09-01,5,15,http://www.jstor.org/stable/2177763,A. H. Pierce,Duke University Press,eng,549,551,,,1163,3,unigram; bigram; trigram; fullText
http://www.jstor.org/stable/2176675,The Philosophy of Emerson,The Philosophical Review,1903,,article,research-article,jstor,,1903-09-01,5,12,http://www.jstor.org/stable/2176675,Charles M. Bakewell,Duke University Press,eng,525,536,,,4770,12,unigram; bigram; trigram; fullText
ark://27927/pgg1nb8tc59,Bodily Sensation and Tactile Perception,Philosophy and Phenomenological Research,2013,10.1111/j.1933-1592.2011.00504.x,article,,portico,,2013-01-01,1,86,http://doi.org/10.1111/j.1933-1592.2011.00504.x,LOUISE RICHARDSON,"John Wiley & Sons, Inc.",eng,134,154,,bodily sensation; tactile perception; tactile; perception; template model; perceptual; perceiving; tactile perceptual; anstoss; auditory,9431,21,unigram; bigram; trigram
ark://27927/phw10r8f3vn,Putting Pluralism in its Place,Philosophy and Phenomenological Research,2018,10.1111/phpr.12303,article,,portico,,2018-01-01,1,96,http://doi.org/10.1111/phpr.12303,Jamin Asay,"John Wiley & Sons, Inc.",eng,175,191,,alethic; alethic properties; pluralism; pluralists; truth bearers; socrates; philosopher; alethic pluralism; realism; deflationary,9884,17,unigram; bigram; trigram
http://www.jstor.org/stable/2250242,Review Article,Mind,1936,,article,book-review,jstor,,1936-04-01,178,45,http://www.jstor.org/stable/2250242,H. Barker,Oxford University Press,eng,229,241,,,6119,13,unigram; bigram; trigram
http://www.jstor.org/stable/20140522,Reasons to Reject Allowing,Philosophy and Phenomenological Research,2003,,article,book-review,jstor,,2003-01-01,1,66,http://www.jstor.org/stable/20140522,Allan Gibbard,International Phenomenological Society,eng,169,175,,,3493,7,unigram; bigram; trigram
http://www.jstor.org/stable/2018965,Review Article,The Journal of Philosophy,1947,,article,book-review,jstor,,1947-08-28,18,44,http://www.jstor.org/stable/2018965,Helmut Kuhn,"Journal of Philosophy, Inc.",eng,489,499,,,4827,11,unigram; bigram; trigram
ark://27927/phw8cznpqj,On ‘Facts Revisited’,Philosophy and Phenomenological Research,2007,10.1111/j.1933-1592.2007.00025.x,article,,portico,,2007-03-01,2,74,http://doi.org/10.1111/j.1933-1592.2007.00025.x,JENNIFER HORNSBY,"John Wiley & Sons, Inc.",eng,406,412,,fregean; propositions; russell; theory; fregean claim; fregean account; singular terms; facts revisited; identity theory; russellian,2875,7,unigram; bigram; trigram
http://www.jstor.org/stable/2106316,Rational Motivation,Philosophy and Phenomenological Research,1979,,article,research-article,jstor,,1979-12-01,2,40,http://www.jstor.org/stable/2106316,Hilliard Aronovitch,International Phenomenological Society,eng,173,193,,,10135,21,unigram; bigram; trigram
http://www.jstor.org/stable/186811,Review Article,Philosophy of Science,1979,,article,book-review,jstor,,1979-03-01,1,46,http://www.jstor.org/stable/186811,,The University of Chicago Press,eng,169,170,,,1400,2,unigram; bigram; trigram
http://www.jstor.org/stable/20128683,Review Article,The Review of Metaphysics,1988,,article,book-review,jstor,,1988-06-01,4,41,http://www.jstor.org/stable/20128683,Martin Donougho,Philosophy Education Society Inc.,eng,850,852,,,1063,3,unigram; bigram; trigram
ark://27927/phz1jqgv1n2,Précis of Objects and Persons,Philosophy and Phenomenological Research,2003,10.1111/j.1933-1592.2003.tb00318.x,article,,portico,,2003-11-01,3,67,http://doi.org/10.1111/j.1933-1592.2003.tb00318.x,TRENTON MERRICKS,"John Wiley & Sons, Inc.",eng,700,703,,statues; baseballs; atoms arranged; causally; eliminativism; mental causation; baseballs exist; constituent atoms; argument; intrinsic features,1662,4,unigram; bigram; trigram
http://www.jstor.org/stable/2252004,Religious and Secular Beliefs,Mind,1960,,article,research-article,jstor,,1960-07-01,275,69,http://www.jstor.org/stable/2252004,Leon Pearl,Oxford University Press,eng,408,412,,,2452,5,unigram; bigram; trigram
http://www.jstor.org/stable/2247792,Philosophical Periodicals,Mind,1898,,article,research-article,jstor,,1898-10-01,28,7,http://www.jstor.org/stable/2247792,,Oxford University Press,eng,581,592,,,6845,12,unigram; bigram; trigram
http://www.jstor.org/stable/2021713,Conflicts of Values in a Community of Cultures,The Journal of Philosophy,1950,,article,research-article,jstor,,1950-04-13,8,47,http://www.jstor.org/stable/2021713,Richard McKeon,"Journal of Philosophy, Inc.",eng,197,210,,,6064,14,unigram; bigram; trigram
ark://27927/phz1jqh0gjh,Proper Basicality,Philosophy and Phenomenological Research,2004,10.1111/j.1933-1592.2004.tb00348.x,article,,portico,,2004-03-01,2,68,http://doi.org/10.1111/j.1933-1592.2004.tb00348.x,EVAN FALES,"John Wiley & Sons, Inc.",eng,373,383,,beliefs; properly basic; nonbasic; plantinga; properly nonbasic; nonbasic beliefs; conscious; nonbasic belief; perceptual beliefs; formation,4831,11,unigram; bigram; trigram
http://www.jstor.org/stable/2181747,Current Strictures on Reason,The Philosophical Review,1945,,article,research-article,jstor,,1945-07-01,4,54,http://www.jstor.org/stable/2181747,Brand Blanshard,Duke University Press,eng,345,368,,,10444,24,unigram; bigram; trigram
http://www.jstor.org/stable/2248275,New Books,Mind,1906,,article,misc,jstor,,1906-01-01,57,15,http://www.jstor.org/stable/2248275,J. L. McIntyre; A. C. Haddon; Henry Barker; J. Rickaby; F. C. S. Schiller; R. F. Alfred Hoernle; John Burnet; W. Leslie Mackenzie; G. R. T. Ross; C. A. F. Rhys Davids,Oxford University Press,eng,109,124,,,9083,16,unigram; bigram; trigram
http://www.jstor.org/stable/2180140,Classical and Relational Logic,The Philosophical Review,1936,,article,research-article,jstor,,1936-05-01,3,45,http://www.jstor.org/stable/2180140,Roger W. Holmes,Duke University Press,eng,297,303,,,3341,7,unigram; bigram; trigram
http://www.jstor.org/stable/43904684,Review Article,Mind,2015,,article,book-review,jstor,,2015-10-01,496,124,http://www.jstor.org/stable/43904684,KRIS McDANIEL,Oxford University Press,eng,1344,1347,,,1609,4,unigram; bigram; trigram
ark://27927/phz7cm3497f,Basic‐Know And Super‐Know,Philosophy and Phenomenological Research,2019,10.1111/phpr.12452,article,,portico,,2019-03-01,2,98,http://doi.org/10.1111/phpr.12452,Anna Mahtani,"John Wiley & Sons, Inc.",eng,375,391,,credence; super know; basic know; proposition; principle; credence function; expert deference; ticket; smallest lottery; relevant instance,10829,17,unigram; bigram; trigram
http://www.jstor.org/stable/2022925,"Action, Reason, and Purpose",The Journal of Philosophy,1965,,article,research-article,jstor,,1965-02-18,4,62,http://www.jstor.org/stable/2022925,Daniel Bennett,"Journal of Philosophy, Inc.",eng,85,96,,,5269,12,unigram; bigram; trigram
